id,ride_id,customer_id,driver_id,pickup_area,dropoff_area,ride_start_time,ride_end_time,ride_duration_minutes,distance_km,fare_bdt,driver_rating,customer_rating,ride_status,cancellation_reason,payment_method
1,R_200001,C_2457,D_3026,Rampura,Banani,2024-08-28 16:51:00,2024-08-28 17:09:00,18,6.53,209.19,3.8,3.1,Completed,,Nagad
2,R_200002,C_4466,D_3028,Farmgate,Dhanmondi,2024-02-03 01:25:00,2024-02-03 01:58:00,33,9.94,249.49,4.5,3.3,Completed,,Card
3,R_200003,C_2637,D_3221,Baridhara,Motijheel,2024-11-09 21:35:00,2024-11-09 22:25:00,50,20.44,552.14,4.5,4.1,Canceled,Long waiting time,Cash
4,R_200004,C_4262,D_3301,Cantonment,Khilgaon,2024-02-19 12:23:00,2024-02-19 12:36:00,13,2.5,77.62,3.2,3.5,Completed,,Card
5,R_200005,C_3858,D_3651,Cantonment,Motijheel,2024-10-09 12:37:00,2024-10-09 13:16:00,39,14.41,399.01,4.3,4.1,Completed,,bKash
6,R_200006,C_3555,D_3277,Savar,Khilgaon,2024-01-14 06:45:00,2024-01-14 07:31:00,46,18.75,536.68,3.1,3.6,Completed,,Pathao Pay
7,R_200007,C_4324,D_3323,Dhanmondi,Khilgaon,2024-04-20 11:03:00,2024-04-20 12:06:00,63,13.77,305.83,4.1,4.5,Completed,,Nagad
8,R_200008,C_3636,D_3371,Dhanmondi,Uttara,2024-04-15 08:54:00,2024-04-15 09:05:00,11,4.54,113.25,4.4,4.2,Completed,,Nagad
9,R_200009,C_3918,D_3542,Banani,Farmgate,2024-12-26 02:13:00,2024-12-26 03:26:00,73,27.94,787.42,3.6,3.3,Completed,,Card
10,R_200010,C_4051,D_3183,Farmgate,Savar,2024-11-07 03:40:00,2024-11-07 04:49:00,69,23.77,506.71,4.1,4.6,Completed,,Cash
11,R_200011,C_4454,D_3332,Bashundhara R/A,Gulshan,2024-11-04 12:03:00,2024-11-04 12:47:00,44,10.76,256.13,3.2,4.5,Completed,,Nagad
12,R_200012,C_2516,D_3132,Khilgaon,Bashundhara R/A,2024-03-25 18:43:00,2024-03-25 19:42:00,59,25.98,792.34,4.4,4.4,Completed,,Card
13,R_200013,C_3795,D_3530,Bashundhara R/A,Mirpur,2024-08-27 16:55:00,2024-08-27 17:02:00,7,2.37,73.61,3.1,4.3,Completed,,Cash
14,R_200014,C_3354,D_3073,Farmgate,Dhanmondi,2024-08-11 02:28:00,2024-08-11 03:42:00,74,15.96,497.87,3.9,4.6,Completed,,Pathao Pay
15,R_200015,C_2387,D_3100,Khilgaon,Mohakhali,2024-07-03 10:33:00,2024-07-03 10:44:00,11,3.98,140.61,3.8,3.7,Completed,,Pathao Pay
16,R_200016,C_2785,D_3195,Farmgate,Bashundhara R/A,2024-10-21 10:48:00,2024-10-21 11:52:00,64,15.84,489.48,4.7,4.1,Completed,,Nagad
17,R_200017,C_2061,D_3096,Savar,Baridhara,2024-09-01 18:33:00,2024-09-01 19:39:00,66,15.69,379.1,3.8,5,Completed,,bKash
18,R_200018,C_3169,D_3434,Rampura,Baridhara,2024-03-22 02:14:00,2024-03-22 02:38:00,24,5.55,135.57,4.5,3.1,Completed,,Cash
19,R_200019,C_4393,D_3489,Farmgate,Savar,2024-04-04 18:56:00,2024-04-04 19:11:00,15,6.15,137.12,4.7,3.8,Canceled,Incorrect pickup location,Pathao Pay
20,R_200020,C_4372,D_3609,Gulshan,Old Dhaka,2024-11-20 10:17:00,2024-11-20 11:28:00,71,18.84,431.47,3.6,3.5,Completed,,Card
21,R_200021,C_3873,D_3324,Savar,Baridhara,2024-11-24 23:30:00,2024-11-24 23:47:00,17,3.4,95.2,4.9,4.8,Completed,,Card
22,R_200022,C_3168,D_3162,Bashundhara R/A,Cantonment,2024-03-28 01:40:00,2024-03-28 02:52:00,72,13.11,390.51,4.3,4.9,Completed,,Cash
23,R_200023,C_2439,D_3567,Uttara,Banani,2024-08-09 04:46:00,2024-08-09 05:34:00,48,11.28,314.17,4,4.8,Completed,,Cash
24,R_200024,C_3735,D_3284,Gulshan,Motijheel,2024-10-26 03:43:00,2024-10-26 04:44:00,61,20.07,484.46,3.2,4.8,Canceled,Incorrect pickup location,Cash
25,R_200025,C_3513,D_3597,Farmgate,Uttara,2024-05-25 19:57:00,2024-05-25 20:48:00,51,21.56,631.27,4.8,3.4,Completed,,Cash
